Pays,Rank_Volaille_Import,Rank_Volaille_Dispo_int,Rank_Volaille_Dispo_kg,Rank_IED_agriculture,Rank_Indice_betail,Rank_PIB_par_habitant,Rank_Stabilite_politique,Rank_Population_totale,Rank_Part_terre_bio,Total_Score
CANADA,10.0,9.0,10.0,8.0,8.0,15.0,9.0,10.0,33.0,112.0
ÉMIRATS ARABES UNIS,7.0,15.0,6.0,8.0,1.0,4.0,30.0,22.0,36.0,129.0
IRLANDE,18.0,29.0,24.0,8.0,3.0,2.0,13.0,29.0,34.0,160.0
Pays Bas,5.0,17.0,33.0,8.0,31.0,6.0,19.0,15.0,27.0,161.0
Portugal,21.0,18.0,17.0,8.0,22.0,34.0,7.0,19.0,17.0,163.0
ESPAGNE,9.0,7.0,18.0,34.0,11.0,25.0,41.0,7.0,15.0,167.0
Royaume Uni,3.0,2.0,16.0,41.0,20.0,18.0,37.0,3.0,28.0,168.0
Pologne,25.0,12.0,18.0,7.0,6.0,36.0,33.0,9.0,26.0,172.0
Danemark,14.0,26.0,21.0,8.0,35.0,8.0,23.0,25.0,12.0,172.0
ITALIE,19.0,10.0,34.0,5.0,34.0,22.0,40.0,5.0,4.0,173.0
ALLEMAGNE,2.0,4.0,34.0,36.0,40.0,9.0,31.0,2.0,18.0,176.0
JAPON,1.0,1.0,38.0,34.0,29.0,23.0,8.0,1.0,43.0,178.0
Arabie Saoudite,4.0,8.0,6.0,45.0,5.0,12.0,47.0,11.0,45.0,183.0
AUSTRALIE,35.0,11.0,2.0,30.0,47.0,14.0,21.0,13.0,11.0,184.0
SUISSE,26.0,28.0,43.0,8.0,42.0,3.0,4.0,24.0,10.0,188.0
AUTRICHE,17.0,24.0,38.0,40.0,25.0,10.0,12.0,23.0,1.0,190.0
Koweït,12.0,22.0,4.0,8.0,2.0,17.0,46.0,34.0,45.0,190.0
BELGIQUE,8.0,27.0,45.0,8.0,21.0,13.0,35.0,16.0,20.0,193.0
FRANCE,6.0,6.0,28.0,33.0,37.0,20.0,41.0,4.0,21.0,196.0
TCHÉQUIE,16.0,20.0,29.0,43.0,28.0,26.0,13.0,17.0,5.0,197.0
FINLANDE,35.0,31.0,34.0,8.0,33.0,16.0,10.0,26.0,8.0,201.0
Norvège,44.0,32.0,34.0,8.0,23.0,5.0,6.0,28.0,22.0,202.0
Luxembourg,38.0,44.0,38.0,8.0,9.0,1.0,3.0,41.0,24.0,206.0
Suède,20.0,23.0,41.0,38.0,38.0,11.0,17.0,20.0,3.0,211.0
MALAISIE,22.0,5.0,10.0,31.0,18.0,40.0,45.0,12.0,29.0,212.0
Chili,11.0,14.0,12.0,4.0,44.0,41.0,36.0,14.0,44.0,220.0
ARGENTINE,40.0,3.0,9.0,27.0,17.0,43.0,43.0,8.0,32.0,222.0
OMAN,15.0,30.0,29.0,8.0,4.0,32.0,26.0,31.0,47.0,222.0
RÉPUBLIQUE DOMINICAINE,29.0,16.0,13.0,8.0,36.0,46.0,44.0,18.0,13.0,223.0
Lettonie,28.0,37.0,31.0,2.0,14.0,39.0,34.0,38.0,6.0,229.0
Lituanie,27.0,33.0,22.0,3.0,43.0,30.0,25.0,36.0,14.0,233.0
HONGRIE,24.0,19.0,25.0,29.0,32.0,37.0,24.0,21.0,25.0,236.0
CHYPRE,37.0,38.0,25.0,8.0,7.0,27.0,32.0,40.0,23.0,237.0
URUGUAY,43.0,39.0,47.0,1.0,15.0,42.0,11.0,35.0,7.0,240.0
Corée du sud,12.0,13.0,41.0,38.0,39.0,24.0,37.0,6.0,35.0,245.0
Bahamas,30.0,41.0,6.0,8.0,30.0,31.0,16.0,43.0,41.0,246.0
Slovénie,33.0,35.0,27.0,37.0,13.0,28.0,22.0,37.0,16.0,248.0
SLOVAQUIE,23.0,34.0,44.0,32.0,26.0,35.0,20.0,27.0,9.0,250.0
ESTONIE,32.0,40.0,31.0,6.0,45.0,29.0,29.0,39.0,2.0,253.0
BARBADE,44.0,42.0,3.0,8.0,19.0,45.0,18.0,45.0,29.0,253.0
Islande,44.0,45.0,18.0,47.0,10.0,7.0,2.0,44.0,40.0,257.0
ANTIGUA-ET-BARBUDA,41.0,47.0,1.0,8.0,16.0,44.0,27.0,47.0,29.0,260.0
NOUVELLE-ZÉLANDE,47.0,25.0,13.0,46.0,41.0,21.0,1.0,30.0,38.0,262.0
GRENADE,41.0,46.0,4.0,8.0,24.0,47.0,13.0,46.0,37.0,266.0
Croatie,30.0,36.0,46.0,28.0,12.0,38.0,28.0,32.0,19.0,269.0
PANAMA,33.0,21.0,15.0,44.0,27.0,33.0,37.0,33.0,39.0,282.0
Malte,39.0,43.0,23.0,42.0,46.0,19.0,4.0,42.0,42.0,300.0
