Pays,Code ISO,Année,Volaille_Import,Volaille_Dispo_int,Volaille_Dispo_kg,IED_agriculture,Indice_betail,PIB_par_habitant,Stabilite_politique,Population_totale,Part_terre_bio,Cluster_CAH,Cluster_KMeans,Volaille_vs_Median,Nb_dépassement_median,Ratio_Volaille_Import,Distance_France
BELGIQUE,BEL,2017,338.0,152.0,13.0,1.527777777777778,102.49,50256.0,0.42,11419748.0,6.29,3,3,Au-dessus de la médiane,6,2.223684210526316,53422761.332601175
Chili,CHL,2017,155.0,672.0,36.0,2.16,96.26,24295.0,0.41,18470439.0,0.16,4,3,Au-dessus de la médiane,7,0.23065476190476192,46372074.398396224
Corée du sud,KOR,2017,137.0,854.0,17.0,0.03,98.91,40957.0,0.38,51096415.0,1.23,1,3,Au-dessus de la médiane,6,0.16042154566744732,13746094.472400576
PANAMA,PAN,2017,20.0,192.0,34.0,-0.42,101.14,33533.0,0.38,4106769.0,0.69,4,3,Au-dessus de la médiane,4,0.10416666666666667,60735741.002207324
Royaume Uni,GBR,2017,779.0,2234.0,32.0,-0.04,102.53,46048.0,0.38,66727461.0,2.88,3,3,Au-dessus de la médiane,7,0.3487018800358102,1884952.7970475792
ITALIE,ITA,2017,97.0,1173.0,19.0,1.7,100.09,41770.0,0.29,60673701.0,14.88,4,3,Au-dessus de la médiane,7,0.08269394714407502,4168808.91296811
ESPAGNE,ESP,2017,205.0,1497.0,30.0,0.13,106.96,39806.0,0.27,46647428.0,7.92,4,3,Au-dessus de la médiane,8,0.13694054776219106,18195081.600163814
FRANCE,FRA,2017,506.0,1573.0,23.0,0.25,99.19,44469.0,0.27,64842509.0,6.08,3,3,Au-dessus de la médiane,7,0.32167832167832167,0.0
ARGENTINE,ARG,2017,8.0,1962.0,42.0,1.5,102.98,23385.0,0.16,43937140.0,2.7,4,3,Au-dessus de la médiane,6,0.004077471967380225,20905379.641636036
RÉPUBLIQUE DOMINICAINE,DOM,2017,42.0,375.0,35.0,1.527777777777778,99.42,17044.0,0.15,10513104.0,8.45,4,3,Au-dessus de la médiane,5,0.112,54329411.937138624
MALAISIE,MYS,2017,68.0,1621.0,39.0,0.44,102.78,26416.0,0.11,31104646.0,2.821206896551724,4,3,Au-dessus de la médiane,7,0.041949413942011106,33737867.83292633
Koweït,KWT,2017,137.0,189.0,46.0,1.527777777777778,114.24,46566.0,-0.05,4056099.0,0.01,3,3,Au-dessus de la médiane,5,0.7248677248677249,60786410.05305314
Arabie Saoudite,SAU,2017,722.0,1435.0,43.0,-2.63,111.18,51238.0,-0.65,33101179.0,0.01,3,3,Au-dessus de la médiane,6,0.5031358885017422,31741330.722806044
Médiane,,2017,30.0,136.0,19.5,1.527777777777778,102.53,20133.5,0.265,9608513.0,1.1749999999999998,-1,-1,,,,
